Регіон;Кількість зареєстрованих випадків захворювання;Грубий показник захворюваності на 100 тис. населення;Кількість зареєстрованих смертей;Звичайний показник смертності на 100 тис. населення
Україна;;291;;151,3
АР Крим;;;;
Вінницька;4361;283,6;2466;160,3
Волинська;2585;251,3;1573;152,9
Дніпропетровська;9715;306,1;3937;124,1
Донецька;4168;;2235;
Житомирська;3106;256,9;1651;136,6
Закарпатська;2294;183,4;1287;102,9
Запорізька;5139;304,7;2801;166,1
Івано-Франківська;3575;261,8;2135;156,4
Київська;5184;292;2458;138,5
Кіровоградська;3642;393;1885;203,4
Луганська;1976;;1077;
Львівська;7039;282,3;3271;131,2
Миколаївська;3514;314;1457;130,2
Одеська;5294;223,7;2083;88
Полтавська;4418;320,3;2559;185,6
Рівненська;2583;224,2;1557;135,2
Сумська;3633;340,8;1885;176,8
Тернопільська;2750;265,6;1755;169,5
Харківська;8368;316,6;5065;191,7
Херсонська;3606;351,3;1966;191,5
Хмельницька;3998;319,5;2368;189,2
Черкаська;3897;327,9;2017;169,7
Чернівецька;1723;191,8;756;84,1
Чернігівська;3364;342,3;1876;190,9
м. Київ;9477;323,9;4860;166,1
м. Севастополь;;;;
