"Показник","Територіальний розріз","Джерело забруднення","Вид забруднюючої речовини","Категорія джерела забруднення","Періодичність","2020"
"Кількість викидів забруднюючих речовин і парникових газів","Україна","Пересувні джерела","Всього викиди","Загалом","Річна","1436728.3"
"Кількість викидів забруднюючих речовин і парникових газів","Україна","Стаціонарні джерела","Всього викиди","Загалом","Річна","2238628.44"
"Кількість викидів забруднюючих речовин і парникових газів","Автономна Республіка Крим","Пересувні джерела","Всього викиди","Загалом","Річна",""
"Кількість викидів забруднюючих речовин і парникових газів","Автономна Республіка Крим","Стаціонарні джерела","Всього викиди","Загалом","Річна",""
"Кількість викидів забруднюючих речовин і парникових газів","Вінницька","Пересувні джерела","Всього викиди","Загалом","Річна","51442.9"
"Кількість викидів забруднюючих речовин і парникових газів","Вінницька","Стаціонарні джерела","Всього викиди","Загалом","Річна","78.2"
"Кількість викидів забруднюючих речовин і парникових газів","Волинська","Пересувні джерела","Всього викиди","Загалом","Річна","31669.2"
"Кількість викидів забруднюючих речовин і парникових газів","Волинська","Стаціонарні джерела","Всього викиди","Загалом","Річна","5.1"
"Кількість викидів забруднюючих речовин і парникових газів","Дніпропетровська","Пересувні джерела","Всього викиди","Загалом","Річна","126005.9"
"Кількість викидів забруднюючих речовин і парникових газів","Дніпропетровська","Стаціонарні джерела","Всього викиди","Загалом","Річна","534.7"
"Кількість викидів забруднюючих речовин і парникових газів","Донецька","Пересувні джерела","Всього викиди","Загалом","Річна","51491.4"
"Кількість викидів забруднюючих речовин і парникових газів","Донецька","Стаціонарні джерела","Всього викиди","Загалом","Річна","751"
"Кількість викидів забруднюючих речовин і парникових газів","Житомирська","Пересувні джерела","Всього викиди","Загалом","Річна","42086"
"Кількість викидів забруднюючих речовин і парникових газів","Житомирська","Стаціонарні джерела","Всього викиди","Загалом","Річна","11.8"
"Кількість викидів забруднюючих речовин і парникових газів","Закарпатська","Пересувні джерела","Всього викиди","Загалом","Річна","33325.5"
"Кількість викидів забруднюючих речовин і парникових газів","Закарпатська","Стаціонарні джерела","Всього викиди","Загалом","Річна","3.3"
"Кількість викидів забруднюючих речовин і парникових газів","Запорізька","Пересувні джерела","Всього викиди","Загалом","Річна","71398.6"
"Кількість викидів забруднюючих речовин і парникових газів","Запорізька","Стаціонарні джерела","Всього викиди","Загалом","Річна","155.5"
"Кількість викидів забруднюючих речовин і парникових газів","Івано-Франківська","Пересувні джерела","Всього викиди","Загалом","Річна","33090.2"
"Кількість викидів забруднюючих речовин і парникових газів","Івано-Франківська","Стаціонарні джерела","Всього викиди","Загалом","Річна","140.4"
"Кількість викидів забруднюючих речовин і парникових газів","Київська","Пересувні джерела","Всього викиди","Загалом","Річна","134152"
"Кількість викидів забруднюючих речовин і парникових газів","Київська","Стаціонарні джерела","Всього викиди","Загалом","Річна","66.6"
"Кількість викидів забруднюючих речовин і парникових газів","Кіровоградська","Пересувні джерела","Всього викиди","Загалом","Річна","38456.8"
"Кількість викидів забруднюючих речовин і парникових газів","Кіровоградська","Стаціонарні джерела","Всього викиди","Загалом","Річна","10.7"
"Кількість викидів забруднюючих речовин і парникових газів","Луганська","Пересувні джерела","Всього викиди","Загалом","Річна","15107.3"
"Кількість викидів забруднюючих речовин і парникових газів","Луганська","Стаціонарні джерела","Всього викиди","Загалом","Річна","35.5"
"Кількість викидів забруднюючих речовин і парникових газів","Львівська","Пересувні джерела","Всього викиди","Загалом","Річна","72052.5"
"Кількість викидів забруднюючих речовин і парникових газів","Львівська","Стаціонарні джерела","Всього викиди","Загалом","Річна","76"
"Кількість викидів забруднюючих речовин і парникових газів","Миколаївська","Пересувні джерела","Всього викиди","Загалом","Річна","43052.4"
"Кількість викидів забруднюючих речовин і парникових газів","Миколаївська","Стаціонарні джерела","Всього викиди","Загалом","Річна","11.2"
