"Показник","Територіальний розріз","Періодичність","2020"
"Середня чисельність постійного населення","Україна","Річна","41575748"
"Середня чисельність постійного населення","Автономна Республіка Крим","Річна",""
"Середня чисельність постійного населення","Вінницька","Річна","1530184"
"Середня чисельність постійного населення","Волинська","Річна","1026681"
"Середня чисельність постійного населення","Дніпропетровська","Річна","3156032"
"Середня чисельність постійного населення","Донецька","Річна","4103159"
"Середня чисельність постійного населення","Житомирська","Річна","1202622"
"Середня чисельність постійного населення","Закарпатська","Річна","1249127"
"Середня чисельність постійного населення","Запорізька","Річна","1676169"
"Середня чисельність постійного населення","Івано-Франківська","Річна","1361877"
"Середня чисельність постійного населення","Київська","Річна","1779008"
"Середня чисельність постійного населення","Кіровоградська","Річна","920203"
"Середня чисельність постійного населення","Луганська","Річна","2124020"
"Середня чисельність постійного населення","Львівська","Річна","2486547"
"Середня чисельність постійного населення","Миколаївська","Річна","1113413"
"Середня чисельність постійного населення","Одеська","Річна","2361609"
"Середня чисельність постійного населення","Полтавська","Річна","1371415"
"Середня чисельність постійного населення","Рівненська","Річна","1149648"
"Середня чисельність постійного населення","Сумська","Річна","1058658"
"Середня чисельність постійного населення","Тернопільська","Річна","1031378"
"Середня чисельність постійного населення","Харківська","Річна","2630512"
"Середня чисельність постійного населення","Херсонська","Річна","1020878"
"Середня чисельність постійного населення","Хмельницька","Річна","1246082"
"Середня чисельність постійного населення","Черкаська","Річна","1181573"
"Середня чисельність постійного населення","Чернівецька","Річна","896034"
"Середня чисельність постійного населення","Чернігівська","Річна","975456"
"Середня чисельність постійного населення","Київ","Річна","2923463"
"Середня чисельність постійного населення","Севастополь","Річна",""
