Показник,Територіальний розріз,Джерело забруднення,Вид забруднюючої речовини,Категорія джерела забруднення,Періодичність,Кількість,Рік
Кількість викидів забруднюючих речовин і парникових газів,Україна,Пересувні джерела,Всього викиди,Загалом,Річна,1436728.30,2020
Кількість викидів забруднюючих речовин і парникових газів,Україна,Стаціонарні джерела,Всього викиди,Загалом,Річна,2238628440.00,2020
Кількість викидів забруднюючих речовин і парникових газів,Вінницька,Пересувні джерела,Всього викиди,Загалом,Річна,51442.90,2020
Кількість викидів забруднюючих речовин і парникових газів,Вінницька,Стаціонарні джерела,Всього викиди,Загалом,Річна,78200.00,2020
Кількість викидів забруднюючих речовин і парникових газів,Волинська,Пересувні джерела,Всього викиди,Загалом,Річна,31669.20,2020
Кількість викидів забруднюючих речовин і парникових газів,Волинська,Стаціонарні джерела,Всього викиди,Загалом,Річна,5100.00,2020
Кількість викидів забруднюючих речовин і парникових газів,Дніпропетровська,Пересувні джерела,Всього викиди,Загалом,Річна,126005.90,2020
Кількість викидів забруднюючих речовин і парникових газів,Дніпропетровська,Стаціонарні джерела,Всього викиди,Загалом,Річна,534700.00,2020
Кількість викидів забруднюючих речовин і парникових газів,Донецька,Пересувні джерела,Всього викиди,Загалом,Річна,51491.40,2020
Кількість викидів забруднюючих речовин і парникових газів,Донецька,Стаціонарні джерела,Всього викиди,Загалом,Річна,751000.00,2020
Кількість викидів забруднюючих речовин і парникових газів,Житомирська,Пересувні джерела,Всього викиди,Загалом,Річна,42086.00,2020
Кількість викидів забруднюючих речовин і парникових газів,Житомирська,Стаціонарні джерела,Всього викиди,Загалом,Річна,11800.00,2020
Кількість викидів забруднюючих речовин і парникових газів,Закарпатська,Пересувні джерела,Всього викиди,Загалом,Річна,33325.50,2020
Кількість викидів забруднюючих речовин і парникових газів,Закарпатська,Стаціонарні джерела,Всього викиди,Загалом,Річна,3300.00,2020
Кількість викидів забруднюючих речовин і парникових газів,Запорізька,Пересувні джерела,Всього викиди,Загалом,Річна,71398.60,2020
Кількість викидів забруднюючих речовин і парникових газів,Запорізька,Стаціонарні джерела,Всього викиди,Загалом,Річна,155500.00,2020
Кількість викидів забруднюючих речовин і парникових газів,Івано-Франківська,Пересувні джерела,Всього викиди,Загалом,Річна,33090.20,2020
Кількість викидів забруднюючих речовин і парникових газів,Івано-Франківська,Стаціонарні джерела,Всього викиди,Загалом,Річна,140400.00,2020
Кількість викидів забруднюючих речовин і парникових газів,Київська,Пересувні джерела,Всього викиди,Загалом,Річна,134152.00,2020
Кількість викидів забруднюючих речовин і парникових газів,Київська,Стаціонарні джерела,Всього викиди,Загалом,Річна,66600.00,2020
Кількість викидів забруднюючих речовин і парникових газів,Кіровоградська,Пересувні джерела,Всього викиди,Загалом,Річна,38456.80,2020
Кількість викидів забруднюючих речовин і парникових газів,Кіровоградська,Стаціонарні джерела,Всього викиди,Загалом,Річна,10700.00,2020
Кількість викидів забруднюючих речовин і парникових газів,Луганська,Пересувні джерела,Всього викиди,Загалом,Річна,15107.30,2020
Кількість викидів забруднюючих речовин і парникових газів,Луганська,Стаціонарні джерела,Всього викиди,Загалом,Річна,35500.00,2020
Кількість викидів забруднюючих речовин і парникових газів,Львівська,Пересувні джерела,Всього викиди,Загалом,Річна,72052.50,2020
Кількість викидів забруднюючих речовин і парникових газів,Львівська,Стаціонарні джерела,Всього викиди,Загалом,Річна,76000.00,2020
Кількість викидів забруднюючих речовин і парникових газів,Миколаївська,Пересувні джерела,Всього викиди,Загалом,Річна,43052.40,2020
Кількість викидів забруднюючих речовин і парникових газів,Миколаївська,Стаціонарні джерела,Всього викиди,Загалом,Річна,11200.00,2020
