Показник,Територіальний розріз,Періодичність,Кількість,Рік
Середня чисельність постійного населення,Україна,Річна,41208208,2021
Середня чисельність постійного населення,Вінницька,Річна,1512234,2021
Середня чисельність постійного населення,Волинська,Річна,1021648,2021
Середня чисельність постійного населення,Дніпропетровська,Річна,3115951,2021
Середня чисельність постійного населення,Донецька,Річна,4066941,2021
Середня чисельність постійного населення,Житомирська,Річна,1188032,2021
Середня чисельність постійного населення,Закарпатська,Річна,1244470,2021
Середня чисельність постійного населення,Запорізька,Річна,1651700,2021
Середня чисельність постійного населення,Івано-Франківська,Річна,1353740,2021
Середня чисельність постійного населення,Київська,Річна,1786025,2021
Середня чисельність постійного населення,Кіровоградська,Річна,905505,2021
Середня чисельність постійного населення,Луганська,Річна,2107525,2021
Середня чисельність постійного населення,Львівська,Річна,2469571,2021
Середня чисельність постійного населення,Миколаївська,Річна,1099392,2021
Середня чисельність постійного населення,Одеська,Річна,2348689,2021
Середня чисельність постійного населення,Полтавська,Річна,1354068,2021
Середня чисельність постійного населення,Рівненська,Річна,1144060,2021
Середня чисельність постійного населення,Сумська,Річна,1042420,2021
Середня чисельність постійного населення,Тернопільська,Річна,1022887,2021
Середня чисельність постійного населення,Харківська,Річна,2600761,2021
Середня чисельність постійного населення,Херсонська,Річна,1007721,2021
Середня чисельність постійного населення,Хмельницька,Річна,1233145,2021
Середня чисельність постійного населення,Черкаська,Річна,1165876,2021
Середня чисельність постійного населення,Чернівецька,Річна,890447,2021
Середня чисельність постійного населення,Чернігівська,Річна,959466,2021
Середня чисельність постійного населення,Київ,Річна,2915934,2021
