Показник,Територіальний розріз,Джерело забруднення,Вид забруднюючої речовини,Категорія джерела забруднення,Періодичність,Кількість,Рік
Кількість викидів забруднюючих речовин і парникових газів,Україна,Пересувні джерела,Всього викиди,Загалом,Річна,1546775.50,2021
Кількість викидів забруднюючих речовин і парникових газів,Україна,Стаціонарні джерела,Всього викиди,Загалом,Річна,2242020760.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Вінницька,Пересувні джерела,Всього викиди,Загалом,Річна,55155.10,2021
Кількість викидів забруднюючих речовин і парникових газів,Вінницька,Стаціонарні джерела,Всього викиди,Загалом,Річна,79300.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Волинська,Пересувні джерела,Всього викиди,Загалом,Річна,30821.40,2021
Кількість викидів забруднюючих речовин і парникових газів,Волинська,Стаціонарні джерела,Всього викиди,Загалом,Річна,5600.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Дніпропетровська,Пересувні джерела,Всього викиди,Загалом,Річна,133461.20,2021
Кількість викидів забруднюючих речовин і парникових газів,Дніпропетровська,Стаціонарні джерела,Всього викиди,Загалом,Річна,537600.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Донецька,Пересувні джерела,Всього викиди,Загалом,Річна,51334.10,2021
Кількість викидів забруднюючих речовин і парникових газів,Донецька,Стаціонарні джерела,Всього викиди,Загалом,Річна,744100.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Житомирська,Пересувні джерела,Всього викиди,Загалом,Річна,46757.80,2021
Кількість викидів забруднюючих речовин і парникових газів,Житомирська,Стаціонарні джерела,Всього викиди,Загалом,Річна,11900.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Закарпатська,Пересувні джерела,Всього викиди,Загалом,Річна,39761.50,2021
Кількість викидів забруднюючих речовин і парникових газів,Закарпатська,Стаціонарні джерела,Всього викиди,Загалом,Річна,2800.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Запорізька,Пересувні джерела,Всього викиди,Загалом,Річна,69333.90,2021
Кількість викидів забруднюючих речовин і парникових газів,Запорізька,Стаціонарні джерела,Всього викиди,Загалом,Річна,148200.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Івано-Франківська,Пересувні джерела,Всього викиди,Загалом,Річна,37904.30,2021
Кількість викидів забруднюючих речовин і парникових газів,Івано-Франківська,Стаціонарні джерела,Всього викиди,Загалом,Річна,172400.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Київська,Пересувні джерела,Всього викиди,Загалом,Річна,137856.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Київська,Стаціонарні джерела,Всього викиди,Загалом,Річна,59300.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Кіровоградська,Пересувні джерела,Всього викиди,Загалом,Річна,40634.30,2021
Кількість викидів забруднюючих речовин і парникових газів,Кіровоградська,Стаціонарні джерела,Всього викиди,Загалом,Річна,11100.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Луганська,Пересувні джерела,Всього викиди,Загалом,Річна,16196.40,2021
Кількість викидів забруднюючих речовин і парникових газів,Луганська,Стаціонарні джерела,Всього викиди,Загалом,Річна,35100.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Львівська,Пересувні джерела,Всього викиди,Загалом,Річна,83599.70,2021
Кількість викидів забруднюючих речовин і парникових газів,Львівська,Стаціонарні джерела,Всього викиди,Загалом,Річна,75400.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Миколаївська,Пересувні джерела,Всього викиди,Загалом,Річна,46627.10,2021
Кількість викидів забруднюючих речовин і парникових газів,Миколаївська,Стаціонарні джерела,Всього викиди,Загалом,Річна,12200.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Одеська,Пересувні джерела,Всього викиди,Загалом,Річна,94516.70,2021
Кількість викидів забруднюючих речовин і парникових газів,Одеська,Стаціонарні джерела,Всього викиди,Загалом,Річна,35900.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Полтавська,Пересувні джерела,Всього викиди,Загалом,Річна,77727.80,2021
Кількість викидів забруднюючих речовин і парникових газів,Полтавська,Стаціонарні джерела,Всього викиди,Загалом,Річна,52400.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Рівненська,Пересувні джерела,Всього викиди,Загалом,Річна,32991.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Рівненська,Стаціонарні джерела,Всього викиди,Загалом,Річна,9400.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Сумська,Пересувні джерела,Всього викиди,Загалом,Річна,40998.10,2021
Кількість викидів забруднюючих речовин і парникових газів,Сумська,Стаціонарні джерела,Всього викиди,Загалом,Річна,18300.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Тернопільська,Пересувні джерела,Всього викиди,Загалом,Річна,31136.60,2021
Кількість викидів забруднюючих речовин і парникових газів,Тернопільська,Стаціонарні джерела,Всього викиди,Загалом,Річна,8300.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Харківська,Пересувні джерела,Всього викиди,Загалом,Річна,100042.90,2021
Кількість викидів забруднюючих речовин і парникових газів,Харківська,Стаціонарні джерела,Всього викиди,Загалом,Річна,73400.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Херсонська,Пересувні джерела,Всього викиди,Загалом,Річна,40730.80,2021
Кількість викидів забруднюючих речовин і парникових газів,Херсонська,Стаціонарні джерела,Всього викиди,Загалом,Річна,17100.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Хмельницька,Пересувні джерела,Всього викиди,Загалом,Річна,42854.70,2021
Кількість викидів забруднюючих речовин і парникових газів,Хмельницька,Стаціонарні джерела,Всього викиди,Загалом,Річна,21100.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Черкаська,Пересувні джерела,Всього викиди,Загалом,Річна,56620.20,2021
Кількість викидів забруднюючих речовин і парникових газів,Черкаська,Стаціонарні джерела,Всього викиди,Загалом,Річна,47600.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Чернівецька,Пересувні джерела,Всього викиди,Загалом,Річна,22079.40,2021
Кількість викидів забруднюючих речовин і парникових газів,Чернівецька,Стаціонарні джерела,Всього викиди,Загалом,Річна,1700.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Чернігівська,Пересувні джерела,Всього викиди,Загалом,Річна,29524.70,2021
Кількість викидів забруднюючих речовин і парникових газів,Чернігівська,Стаціонарні джерела,Всього викиди,Загалом,Річна,23000.00,2021
Кількість викидів забруднюючих речовин і парникових газів,Київ,Пересувні джерела,Всього викиди,Загалом,Річна,188109.80,2021
Кількість викидів забруднюючих речовин і парникових газів,Київ,Стаціонарні джерела,Всього викиди,Загалом,Річна,38800.00,2021
