region_name,year,death_cases_count,disease_cases_count,crude_death_rate,crude_disease_rate,population_count,mobile_pollution,stationary_pollution
Івано-Франківська,2020,2135,3575,156.4,261.8,1361877,33090.0,140400.0
Івано-Франківська,2021,2084,4135,153.4,304.4,1353740,37904.0,172400.0
Волинська,2020,1573,2585,152.9,251.3,1026681,31669.0,5100.0
Волинська,2021,1445,2897,141.0,282.7,1021648,30821.0,5600.0
Вінницька,2020,2466,4361,160.3,283.6,1530184,51443.0,78200.0
Вінницька,2021,2314,4600,152.0,302.2,1512234,55155.0,79300.0
Дніпропетровська,2020,3937,9715,124.1,306.1,3156032,126006.0,534700.0
Дніпропетровська,2021,4034,10242,128.5,326.3,3115951,133461.0,537600.0
Донецька,2020,2235,4168,54.5,101.6,4103159,51491.0,751000.0
Донецька,2021,3058,6534,75.2,160.7,4066941,51334.0,744100.0
Житомирська,2020,1651,3106,136.6,256.9,1202622,42086.0,11800.0
Житомирська,2021,1504,3493,125.7,292.0,1188032,46758.0,11900.0
Закарпатська,2020,1287,2294,102.9,183.4,1249127,33326.0,3300.0
Закарпатська,2021,1645,2897,131.9,232.3,1244470,39762.0,2800.0
Запорізька,2020,2801,5139,166.1,304.7,1676169,71399.0,155500.0
Запорізька,2021,2360,4959,141.7,297.7,1651700,69334.0,148200.0
Київ,2020,4860,9477,166.1,323.9,2923463,178101.0,25500.0
Київ,2021,4637,9942,158.8,340.4,2915934,188110.0,38800.0
Київська,2020,2458,5184,138.5,292.0,1779008,134152.0,66600.0
Київська,2021,1973,4915,110.7,275.7,1786025,137856.0,59300.0
Кіровоградська,2020,1885,3642,203.4,393.0,920203,38457.0,10700.0
Кіровоградська,2021,1813,3602,198.4,394.2,905505,40634.0,11100.0
Луганська,2020,1077,1976,50.7,93.0,2124020,15107.0,35500.0
Луганська,2021,1017,2153,48.3,102.2,2107525,16196.0,35100.0
Львівська,2020,3271,7039,131.2,282.3,2486547,72053.0,76000.0
Львівська,2021,3163,7615,127.6,307.1,2469571,83600.0,75400.0
Миколаївська,2020,1457,3514,130.2,314.0,1113413,43052.0,11200.0
Миколаївська,2021,1621,3789,146.3,342.1,1099392,46627.0,12200.0
Одеська,2020,2083,5294,88.0,223.7,2361609,81178.0,42600.0
Одеська,2021,1941,6149,82.4,260.9,2348689,94517.0,35900.0
Полтавська,2020,2559,4418,185.6,320.3,1371415,72164.0,45800.0
Полтавська,2021,2233,4513,163.8,330.9,1354068,77728.0,52400.0
Рівненська,2020,1557,2583,135.2,224.2,1149648,29438.0,10100.0
Рівненська,2021,1395,2806,121.6,244.6,1144060,32991.0,9400.0
Сумська,2020,1885,3633,176.8,340.8,1058658,37829.0,20900.0
Сумська,2021,1593,3583,151.5,340.8,1042420,40998.0,18300.0
Тернопільська,2020,1755,2750,169.5,265.6,1031378,27465.0,9500.0
Тернопільська,2021,1630,3057,158.7,297.6,1022887,31137.0,8300.0
Харківська,2020,5065,8368,191.7,316.6,2630512,88024.0,94100.0
Харківська,2021,4824,8783,184.3,335.5,2600761,100043.0,73400.0
Херсонська,2020,1966,3606,191.5,351.3,1020878,38618.0,17800.0
Херсонська,2021,1770,3589,174.3,353.5,1007721,40731.0,17100.0
Хмельницька,2020,2368,3998,189.2,319.5,1246082,40050.0,18200.0
Хмельницька,2021,2253,4173,181.6,336.4,1233145,42855.0,21100.0
Черкаська,2020,2017,3897,169.7,327.9,1181573,52456.0,51400.0
Черкаська,2021,2036,4408,173.3,375.3,1165876,56620.0,47600.0
Чернівецька,2020,756,1723,84.1,191.8,896034,19171.0,1800.0
Чернівецька,2021,545,1764,61.0,197.4,890447,22079.0,1700.0
Чернігівська,2020,1876,3364,190.9,342.3,975456,28903.0,20900.0
Чернігівська,2021,1713,3633,176.9,375.3,959466,29525.0,23000.0
